id_sentence_conll,index_phrase,index_token,form,lemma,score,annotation,phrase
Rhap_M2002-2,1,22,vous,vous,1,y,"mais c'est aussi une conférence de, d'histoire de l'art, une conférence d'esthétique parce que comme vous verrez, j'ai une approche de, de l'art qui est assez, assez généraliste, et qui, euh, mêle plusieurs, euh, plusieurs points de vue et donc pas seulement le point de vue de la philosophie mais aussi celui de l'histoire, celui de la sociologie, et caetera, et caetera."
Rhap_M2002-2,1,25,j',moi,1,y,"mais c'est aussi une conférence de, d'histoire de l'art, une conférence d'esthétique parce que comme vous verrez, j'ai une approche de, de l'art qui est assez, assez généraliste, et qui, euh, mêle plusieurs, euh, plusieurs points de vue et donc pas seulement le point de vue de la philosophie mais aussi celui de l'histoire, celui de la sociologie, et caetera, et caetera."
Rhap_M2002-3,2,3,je,moi,1,y,"donc, je vais traiter mon sujet."
Rhap_M2002-4,3,3,je,moi,5,y,"hein, je veux dire, comme je suis quelqu'un de, de discipliné, je vais traiter, euh, mon sujet l'art est-il le reflet de la société ?"
Rhap_M2002-4,3,8,je,moi,1,y,"hein, je veux dire, comme je suis quelqu'un de, de discipliné, je vais traiter, euh, mon sujet l'art est-il le reflet de la société ?"
Rhap_M2002-4,3,16,je,moi,1,y,"hein, je veux dire, comme je suis quelqu'un de, de discipliné, je vais traiter, euh, mon sujet l'art est-il le reflet de la société ?"
Rhap_M2002-5,4,11,vous,vous,1,y,"et, euh, la réponse, question réponse, vous allez le voir tout de suite, c'est, oui."
Rhap_M2002-10,9,1,vous,vous,5,y,vous verrez qu'il y a des formes d'art qui ne sont pas le reflet de la société.
Rhap_M2002-12,11,2,je,moi,1,y,"alors je commencerai par, euh, une remarque préalable qui est très importante mais que les philosophes ont beaucoup de mal à faire, euh."
Rhap_M2002-12,11,18,philosophes,philosophe,1,y,"alors je commencerai par, euh, une remarque préalable qui est très importante mais que les philosophes ont beaucoup de mal à faire, euh."
Rhap_M2002-14,13,1,ça,ça,4,n,"ça veut pas du tout dire que elle est informe, hein, ni que on peut dire n'importe quoi."
Rhap_M2002-14,13,16,on,on,5,y,"ça veut pas du tout dire que elle est informe, hein, ni que on peut dire n'importe quoi."
Rhap_M2002-15,14,11,on,on,1,y,"mais c'est un concept, c'est ce qu'on appelle un concept flou."
Rhap_M2002-16,15,4,philosophe,philosophe,1,y,"c'est un philosophe, euh, américain, euh, disciple du philosophe anglo aus~, autrichien, euh, Wittgenstein qui a, euh, avancé cette idée de l'art comme concept flou, c'est-à-dire un art dont les, un a~."
Rhap_M2002-16,15,12,disciple,disciple,1,y,"c'est un philosophe, euh, américain, euh, disciple du philosophe anglo aus~, autrichien, euh, Wittgenstein qui a, euh, avancé cette idée de l'art comme concept flou, c'est-à-dire un art dont les, un a~."
Rhap_M2002-16,15,14,philosophe,philosophe,1,y,"c'est un philosophe, euh, américain, euh, disciple du philosophe anglo aus~, autrichien, euh, Wittgenstein qui a, euh, avancé cette idée de l'art comme concept flou, c'est-à-dire un art dont les, un a~."
Rhap_M2002-16,15,22,Wittgenstein,Wittgenstein,2,y,"c'est un philosophe, euh, américain, euh, disciple du philosophe anglo aus~, autrichien, euh, Wittgenstein qui a, euh, avancé cette idée de l'art comme concept flou, c'est-à-dire un art dont les, un a~."
Rhap_M2002-20,19,16,je,moi,1,y,"et, euh, il faut, il faut apprendre à, à s~, je dirais, se, se faire à ces variations."
Rhap_M2002-21,20,1,vous,vous,1,y,"vous voyez, il est évident qu'il y a, par exemple, des, des formes d'art qui sont très liées à la connaissance, euh, par ex~ dans l'art de la renaissance."
Rhap_M2002-22,21,17,nous,nous,1,y,"l'art de la renaissance est vu comme un, un art descriptif et qui doit nous représenter les choses telles qu'elles sont, euh, quand elles sont correctement vues."
Rhap_M2002-27,26,13,l'on,on,5,y,"d'abord il y a une grande distinction, euh, que l'on oublie, euh, alors que tout le monde la connaît et tout le monde, euh, sait de quoi il s'agit."
Rhap_M2002-27,26,22,monde,monde,4,y,"d'abord il y a une grande distinction, euh, que l'on oublie, euh, alors que tout le monde la connaît et tout le monde, euh, sait de quoi il s'agit."
Rhap_M2002-27,26,28,monde,monde,4,y,"d'abord il y a une grande distinction, euh, que l'on oublie, euh, alors que tout le monde la connaît et tout le monde, euh, sait de quoi il s'agit."
Rhap_M2002-28,27,9,on,on,5,y,"première distinction entre l'art en tant qu'on le fabrique, qu'on le produit, qu'on le pratique, et puis l'art en tant qu'on, euh, le reçoit, qu'on l'expérimente et qu'on, et qu'on l'éprouve."
Rhap_M2002-28,27,14,on,on,1,y,"première distinction entre l'art en tant qu'on le fabrique, qu'on le produit, qu'on le pratique, et puis l'art en tant qu'on, euh, le reçoit, qu'on l'expérimente et qu'on, et qu'on l'éprouve."
Rhap_M2002-28,27,19,on,on,5,y,"première distinction entre l'art en tant qu'on le fabrique, qu'on le produit, qu'on le pratique, et puis l'art en tant qu'on, euh, le reçoit, qu'on l'expérimente et qu'on, et qu'on l'éprouve."
Rhap_M2002-28,27,30,on,on,1,y,"première distinction entre l'art en tant qu'on le fabrique, qu'on le produit, qu'on le pratique, et puis l'art en tant qu'on, euh, le reçoit, qu'on l'expérimente et qu'on, et qu'on l'éprouve."
Rhap_M2002-28,27,38,on,on,5,y,"première distinction entre l'art en tant qu'on le fabrique, qu'on le produit, qu'on le pratique, et puis l'art en tant qu'on, euh, le reçoit, qu'on l'expérimente et qu'on, et qu'on l'éprouve."
Rhap_M2002-28,27,43,on,on,1,y,"première distinction entre l'art en tant qu'on le fabrique, qu'on le produit, qu'on le pratique, et puis l'art en tant qu'on, euh, le reçoit, qu'on l'expérimente et qu'on, et qu'on l'éprouve."
Rhap_M2002-28,27,47,on,on,5,y,"première distinction entre l'art en tant qu'on le fabrique, qu'on le produit, qu'on le pratique, et puis l'art en tant qu'on, euh, le reçoit, qu'on l'expérimente et qu'on, et qu'on l'éprouve."
Rhap_M2002-29,28,20,Platon,Platon,2,y,"c'est une distinction, euh, qui date depuis la plus haute antiquité, en tout cas depuis Platon."
Rhap_M2002-30,29,14,poïésis,poïésis,2,n,c'est qu'il y a un art qui consiste à fabriquer.
Rhap_M2002-32,31,6,ça,ça,4,n,"au~, aussi curieux que ça puisse paraître."
Rhap_M2002-34,33,6,on,on,1,y,et c'est ce qu'on appelle l'aisthesis.
Rhap_M2002-35,34,3,aisthesis,aisthesis,2,n,"euh, aisthesis, ça veut dire sensation, euh, en, en grec, euh."
Rhap_M2002-35,34,5,ça,ça,4,n,"euh, aisthesis, ça veut dire sensation, euh, en, en grec, euh."
Rhap_M2002-39,38,2,poïésis,poïésis,2,n,"si poïésis a donné le mot poésie, euh, aisthesis a donné le terme esthétique."
Rhap_M2002-39,38,11,aisthesis,aisthesis,2,n,"si poïésis a donné le mot poésie, euh, aisthesis a donné le terme esthétique."
Rhap_M2002-40,39,12,vous,vous,5,y,"et ce qui est intéressant à souligner, euh, si vous poursuivez des études d'histoire de l'art par exemple, vous le verrez très bien, c'est que pendant très longtemps on n'a pas beaucoup parlé d'esthétique."
Rhap_M2002-40,39,24,vous,vous,5,y,"et ce qui est intéressant à souligner, euh, si vous poursuivez des études d'histoire de l'art par exemple, vous le verrez très bien, c'est que pendant très longtemps on n'a pas beaucoup parlé d'esthétique."
Rhap_M2002-40,39,36,on,on,5,y,"et ce qui est intéressant à souligner, euh, si vous poursuivez des études d'histoire de l'art par exemple, vous le verrez très bien, c'est que pendant très longtemps on n'a pas beaucoup parlé d'esthétique."
Rhap_M2002-41,40,1,on,on,5,y,on n'a pas beaucoup parlé de l'expérience ressentie de l'art.
Rhap_M2002-42,41,3,on,on,5,y,"euh, on a parlé surtout de l'art en tant que fabrication, parce que c'était une affaire de spécialiste, c'était une affaire aussi de commanditaire, de qui c~, qui c'est qui commandait les œuvres d'art et qui les achetait en quelque sorte, mais que le point de vue du spectateur avait pas beaucoup d'importance."
