id_sentence_conll,index_phrase,index_token,form,lemma,score,annotation,phrase
Rhap_M2001-1,0,1,mesdames,monsieur,1,y,"mesdames et messieurs, je suis heureux de me retrouver ce soir parmi vous."
Rhap_M2001-1,0,3,messieurs,monsieur,1,y,"mesdames et messieurs, je suis heureux de me retrouver ce soir parmi vous."
Rhap_M2001-1,0,5,je,moi,1,y,"mesdames et messieurs, je suis heureux de me retrouver ce soir parmi vous."
Rhap_M2001-1,0,9,me,moi,1,y,"mesdames et messieurs, je suis heureux de me retrouver ce soir parmi vous."
Rhap_M2001-1,0,14,vous,vous,1,y,"mesdames et messieurs, je suis heureux de me retrouver ce soir parmi vous."
Rhap_M2001-2,1,21,j',moi,1,y,"après ma visite à Landivisiau et à l'île Longue ce matin, c'est donc une journée entière que j'aurai passée avec nos forces armées."
Rhap_M2001-3,2,11,lien,lien,70,n,"c'est bien sûr dans mon esprit la marque du lien direct qui unit le président de la république, chef des armées, avec, euh, toutes celles et tous ceux qui ont la difficile mission de veiller sur nos intérêts et sur la sécurité de nos concitoyens."
Rhap_M2001-3,2,16,président,président,1,y,"c'est bien sûr dans mon esprit la marque du lien direct qui unit le président de la république, chef des armées, avec, euh, toutes celles et tous ceux qui ont la difficile mission de veiller sur nos intérêts et sur la sécurité de nos concitoyens."
Rhap_M2001-3,2,21,chef,chef,1,y,"c'est bien sûr dans mon esprit la marque du lien direct qui unit le président de la république, chef des armées, avec, euh, toutes celles et tous ceux qui ont la difficile mission de veiller sur nos intérêts et sur la sécurité de nos concitoyens."
Rhap_M2001-3,2,50,concitoyens,concitoyen,1,y,"c'est bien sûr dans mon esprit la marque du lien direct qui unit le président de la république, chef des armées, avec, euh, toutes celles et tous ceux qui ont la difficile mission de veiller sur nos intérêts et sur la sécurité de nos concitoyens."
Rhap_M2001-4,3,6,je,moi,1,y,c'est pour cela que je tenais à vous rencontrer la veille de notre fête nationale.
Rhap_M2001-4,3,9,vous,vous,5,y,c'est pour cela que je tenais à vous rencontrer la veille de notre fête nationale.
Rhap_M2001-5,4,17,vous,vous,1,y,"le quatorze juillet, lors du traditionnel défilé, c'est la nation tout entière qui vous rend hommage."
Rhap_M2001-6,5,1,elle,lui,4,y,"elle salue le courage, elle salue la loyauté, elle salue le dévouement, elle salue l'esprit de sacrifice de ceux qui ont choisi de servir sa défense, ses intérêts et ses valeurs à travers le monde."
Rhap_M2001-6,5,6,elle,lui,4,y,"elle salue le courage, elle salue la loyauté, elle salue le dévouement, elle salue l'esprit de sacrifice de ceux qui ont choisi de servir sa défense, ses intérêts et ses valeurs à travers le monde."
Rhap_M2001-6,5,11,elle,lui,4,y,"elle salue le courage, elle salue la loyauté, elle salue le dévouement, elle salue l'esprit de sacrifice de ceux qui ont choisi de servir sa défense, ses intérêts et ses valeurs à travers le monde."
Rhap_M2001-6,5,16,elle,lui,4,y,"elle salue le courage, elle salue la loyauté, elle salue le dévouement, elle salue l'esprit de sacrifice de ceux qui ont choisi de servir sa défense, ses intérêts et ses valeurs à travers le monde."
Rhap_M2001-7,6,14,j',moi,1,y,"et c'est la raison pour laquelle au nom de la république, j'honorerai certains d'entre vous dans quelques instants."
Rhap_M2001-7,6,19,vous,vous,1,y,"et c'est la raison pour laquelle au nom de la république, j'honorerai certains d'entre vous dans quelques instants."
Rhap_M2001-8,7,4,j',moi,1,y,"cette année, j'ai tenu à ce que cette fête nationale soit aussi celle de l'Europe."
Rhap_M2001-9,8,12,partenaires,partenaire,1,y,"et demain, ce sont les vingt-six drapeaux de nos partenaires européens qui défileront aux côtés de nos armées."
Rhap_M2001-10,9,1,j',moi,5,y,"j'en remercie d'ailleurs, cher Hervé, cher Alain, tout spécialement les ministres de la défense qui sont parmi nous ce soir."
Rhap_M2001-10,9,8,Hervé,Hervé,2,y,"j'en remercie d'ailleurs, cher Hervé, cher Alain, tout spécialement les ministres de la défense qui sont parmi nous ce soir."
Rhap_M2001-10,9,11,Alain,Alain,2,y,"j'en remercie d'ailleurs, cher Hervé, cher Alain, tout spécialement les ministres de la défense qui sont parmi nous ce soir."
Rhap_M2001-10,9,16,ministres,ministre,5,y,"j'en remercie d'ailleurs, cher Hervé, cher Alain, tout spécialement les ministres de la défense qui sont parmi nous ce soir."
Rhap_M2001-10,9,23,nous,nous,1,y,"j'en remercie d'ailleurs, cher Hervé, cher Alain, tout spécialement les ministres de la défense qui sont parmi nous ce soir."
Rhap_M2001-11,10,1,je,moi,5,y,je leur adresse un salut très amical.
Rhap_M2001-11,10,2,leur,eux,4,y,je leur adresse un salut très amical.
Rhap_M2001-12,11,30,Europe,Europe,70,y,"c'est l'image d'une Europe qui repart d'un même pas, une Europe résolue à se remettre en mouvement après deux années d'immobilisme, une Europe vigilante qui n'oublie pas l'impératif de protection dans un monde plus instable et moins prévisible, une Europe prête à assumer ses responsabilités et au sein de laquelle la France a bien l'intention de tenir son rang."
Rhap_M2001-12,11,50,Europe,Europe,10,y,"c'est l'image d'une Europe qui repart d'un même pas, une Europe résolue à se remettre en mouvement après deux années d'immobilisme, une Europe vigilante qui n'oublie pas l'impératif de protection dans un monde plus instable et moins prévisible, une Europe prête à assumer ses responsabilités et au sein de laquelle la France a bien l'intention de tenir son rang."
Rhap_M2001-15,14,7,je,moi,5,y,"demain, davantage qu'aujourd'hui, je souhaite que l'Europe soit capable d'assurer sa sécurité de façon autonome."
Rhap_M2001-17,16,14,partenaires,partenaire,1,y,c'est aussi là l'intérêt fondamental de l'Europe et de nos partenaires.
Rhap_M2001-18,17,8,vous,vous,5,y,"aujourd'hui, plus que jamais, et vous le savez mieux que personne, c'est sur le terrain que se gagne ou se perd le combat."
Rhap_M2001-18,17,13,personne,personne,1,y,"aujourd'hui, plus que jamais, et vous le savez mieux que personne, c'est sur le terrain que se gagne ou se perd le combat."
Rhap_M2001-20,19,8,vous,vous,1,y,cet engagement sur le terrain est pour vous de plus en plus difficile et de plus en plus dangereux.
Rhap_M2001-21,20,8,je,moi,1,y,"l'Afghanistan, le Proche-Orient, je connais la somme de courage et d'abnégation que requiert l'accomplissement de vos missions dans un tel contexte."
Rhap_M2001-22,21,1,je,moi,5,y,"je sais également ce que cela signifie pour vos familles que je veux saluer particulièrement, dont j'imagine qu'elles sont souvent confrontées à l'absence et parfois l'angoisse."
Rhap_M2001-22,21,10,familles,famille,1,y,"je sais également ce que cela signifie pour vos familles que je veux saluer particulièrement, dont j'imagine qu'elles sont souvent confrontées à l'absence et parfois l'angoisse."
Rhap_M2001-22,21,12,je,moi,5,y,"je sais également ce que cela signifie pour vos familles que je veux saluer particulièrement, dont j'imagine qu'elles sont souvent confrontées à l'absence et parfois l'angoisse."
Rhap_M2001-22,21,18,j',moi,1,y,"je sais également ce que cela signifie pour vos familles que je veux saluer particulièrement, dont j'imagine qu'elles sont souvent confrontées à l'absence et parfois l'angoisse."
Rhap_M2001-23,22,1,je,moi,5,y,"je sais aussi, hélas, le lourd tribut payé par certains de vos compagnons d'armes, tribut qui peut aller jusqu'au sacrifice ultime."
Rhap_M2001-23,22,15,compagnons,compagnon,1,y,"je sais aussi, hélas, le lourd tribut payé par certains de vos compagnons d'armes, tribut qui peut aller jusqu'au sacrifice ultime."
Rhap_M2001-23,22,19,tribut,tribut,70,n,"je sais aussi, hélas, le lourd tribut payé par certains de vos compagnons d'armes, tribut qui peut aller jusqu'au sacrifice ultime."
