id_sentence_conll,index_phrase,index_token,form,lemma,score,annotation,phrase
Rhap_M0022-1,0,7,on,on,1,y,"mh, donc, euh, on voit Chaplin, euh, s'habiller pour sortir de son usine."
Rhap_M0022-1,0,9,Chaplin,Chaplin,2,y,"mh, donc, euh, on voit Chaplin, euh, s'habiller pour sortir de son usine."
Rhap_M0022-1,0,13,s',soi,4,y,"mh, donc, euh, on voit Chaplin, euh, s'habiller pour sortir de son usine."
Rhap_M0022-2,1,5,on,on,5,y,"ensuite, euh, on voit une jeune fille habillée en noir qui regarde une devanture de magasin, qui profite d'un aller retour du boulanger, on va dire, pour piquer une baguette, euh."
Rhap_M0022-2,1,9,fille,fille,1,y,"ensuite, euh, on voit une jeune fille habillée en noir qui regarde une devanture de magasin, qui profite d'un aller retour du boulanger, on va dire, pour piquer une baguette, euh."
Rhap_M0022-2,1,27,boulanger,boulanger,1,y,"ensuite, euh, on voit une jeune fille habillée en noir qui regarde une devanture de magasin, qui profite d'un aller retour du boulanger, on va dire, pour piquer une baguette, euh."
Rhap_M0022-2,1,29,on,on,1,y,"ensuite, euh, on voit une jeune fille habillée en noir qui regarde une devanture de magasin, qui profite d'un aller retour du boulanger, on va dire, pour piquer une baguette, euh."
Rhap_M0022-3,2,6,femme,femme,5,y,"sur ce, une vieille femme, euh, voit le vol, prévient le boulanger."
Rhap_M0022-3,2,16,boulanger,boulanger,1,y,"sur ce, une vieille femme, euh, voit le vol, prévient le boulanger."
Rhap_M0022-4,3,3,fille,fille,1,y,"la jeune fille, euh, se retrouve par terre avec Chaplin, euh, au sol."
Rhap_M0022-4,3,12,Chaplin,Chaplin,2,y,"la jeune fille, euh, se retrouve par terre avec Chaplin, euh, au sol."
Rhap_M0022-5,4,2,boulanger,boulanger,1,y,"le boulanger arrive à la rattraper, euh."
Rhap_M0022-5,4,5,la,lui,4,y,"le boulanger arrive à la rattraper, euh."
Rhap_M0022-6,5,4,foule,foule,1,y,"à travers la foule, le policier arrive, demande des explications, mh, de ce, euh, mh, brouhaha, euh."
Rhap_M0022-6,5,7,policier,policier,1,y,"à travers la foule, le policier arrive, demande des explications, mh, de ce, euh, mh, brouhaha, euh."
Rhap_M0022-7,6,2,boulanger,boulanger,1,y,"le boulanger est très éner~, XXX très énervé contre la fille, euh, explique le vol."
Rhap_M0022-7,6,12,fille,fille,1,y,"le boulanger est très éner~, XXX très énervé contre la fille, euh, explique le vol."
Rhap_M0022-8,7,1,Chaplin,Chaplin,2,y,"Chaplin, grand seigneur, explique que, euh, c'est lui qui a la baguette et que donc il y a pas de vol, euh."
Rhap_M0022-8,7,4,seigneur,seigneur,1,y,"Chaplin, grand seigneur, explique que, euh, c'est lui qui a la baguette et que donc il y a pas de vol, euh."
Rhap_M0022-9,8,5,policier,policier,1,y,"sauf que pour le policier, c'est quand même du vol."
Rhap_M0022-11,10,1,on,on,5,y,on se retrouve…
Rhap_M0022-12,11,13,foule,foule,1,y,"donc, tout le monde s'en va, y compris la foule puisque la foule est intéressée par les flics, euh."
Rhap_M0022-12,11,16,foule,foule,1,y,"donc, tout le monde s'en va, y compris la foule puisque la foule est intéressée par les flics, euh."
Rhap_M0022-13,12,1,on,on,5,y,"on se retrouve, donc, avec le boulanger, la jeune fille au sol et la vieille dame qui revient vers le boulanger pour lui dire non, ce n'est pas le monsieur, mais c'est la jeune fille effectivement."
Rhap_M0022-13,12,9,boulanger,boulanger,1,y,"on se retrouve, donc, avec le boulanger, la jeune fille au sol et la vieille dame qui revient vers le boulanger pour lui dire non, ce n'est pas le monsieur, mais c'est la jeune fille effectivement."
Rhap_M0022-13,12,13,fille,fille,11,y,"on se retrouve, donc, avec le boulanger, la jeune fille au sol et la vieille dame qui revient vers le boulanger pour lui dire non, ce n'est pas le monsieur, mais c'est la jeune fille effectivement."
Rhap_M0022-13,12,19,dame,dame,11,y,"on se retrouve, donc, avec le boulanger, la jeune fille au sol et la vieille dame qui revient vers le boulanger pour lui dire non, ce n'est pas le monsieur, mais c'est la jeune fille effectivement."
Rhap_M0022-13,12,24,boulanger,boulanger,1,y,"on se retrouve, donc, avec le boulanger, la jeune fille au sol et la vieille dame qui revient vers le boulanger pour lui dire non, ce n'est pas le monsieur, mais c'est la jeune fille effectivement."
Rhap_M0022-13,12,30,ce,ce,40,n,"on se retrouve, donc, avec le boulanger, la jeune fille au sol et la vieille dame qui revient vers le boulanger pour lui dire non, ce n'est pas le monsieur, mais c'est la jeune fille effectivement."
Rhap_M0022-13,12,35,monsieur,monsieur,1,y,"on se retrouve, donc, avec le boulanger, la jeune fille au sol et la vieille dame qui revient vers le boulanger pour lui dire non, ce n'est pas le monsieur, mais c'est la jeune fille effectivement."
Rhap_M0022-13,12,38,c',ce,40,n,"on se retrouve, donc, avec le boulanger, la jeune fille au sol et la vieille dame qui revient vers le boulanger pour lui dire non, ce n'est pas le monsieur, mais c'est la jeune fille effectivement."
Rhap_M0022-13,12,42,fille,fille,1,y,"on se retrouve, donc, avec le boulanger, la jeune fille au sol et la vieille dame qui revient vers le boulanger pour lui dire non, ce n'est pas le monsieur, mais c'est la jeune fille effectivement."
Rhap_M0022-14,13,4,tu,toi,1,y,"et là, tu es revenue, euh."
