id_sentence_conll,index_phrase,index_token,form,lemma,score,annotation,phrase
Rhap_M0021-2,1,1,c',ce,40,y,"c'est une jeune fille pauvre et affamée, qui lorgne la vitrine d'un pâtissier."
Rhap_M0021-2,1,5,fille,fille,71,y,"c'est une jeune fille pauvre et affamée, qui lorgne la vitrine d'un pâtissier."
Rhap_M0021-2,1,16,pâtissier,pâtissier,1,y,"c'est une jeune fille pauvre et affamée, qui lorgne la vitrine d'un pâtissier."
Rhap_M0021-3,2,1,elle,lui,4,y,"elle voit le garçon pâtissier, euh, qui transporte des plateaux chargés de friandises, gâteaux, et caetera."
Rhap_M0021-3,2,4,garçon,garçon,1,y,"elle voit le garçon pâtissier, euh, qui transporte des plateaux chargés de friandises, gâteaux, et caetera."
Rhap_M0021-3,2,5,pâtissier,pâtissier,1,y,"elle voit le garçon pâtissier, euh, qui transporte des plateaux chargés de friandises, gâteaux, et caetera."
Rhap_M0021-4,3,11,elle,lui,4,y,"et donc, elle, euh, elle vole, elle emprunte dans le camion de livraison une, un sandwich ou une baguette."
Rhap_M0021-5,4,1,elle,lui,4,y,"elle, euh, elle s'enfuit."
Rhap_M0021-6,5,7,elle,lui,4,y,"et malheureusement, ou heureusement, elle se heurte au personnage de Charlot qui apparaît au coin de la rue."
Rhap_M0021-6,5,11,personnage,personnage,1,y,"et malheureusement, ou heureusement, elle se heurte au personnage de Charlot qui apparaît au coin de la rue."
Rhap_M0021-8,7,2,dame,dame,5,y,"une dame, euh, vertueuse et bien pensante, de bonne bourgeoisie, dénonce le larcin, euh, au solide gaillard qui est le, euh, qui est, donc, le, l'employé de la pâtisserie, qui se précipite pour rétablir l'ordre."
Rhap_M0021-8,7,13,bourgeoisie,bourgeoisie,1,y,"une dame, euh, vertueuse et bien pensante, de bonne bourgeoisie, dénonce le larcin, euh, au solide gaillard qui est le, euh, qui est, donc, le, l'employé de la pâtisserie, qui se précipite pour rétablir l'ordre."
Rhap_M0021-8,7,23,gaillard,gaillard,74,y,"une dame, euh, vertueuse et bien pensante, de bonne bourgeoisie, dénonce le larcin, euh, au solide gaillard qui est le, euh, qui est, donc, le, l'employé de la pâtisserie, qui se précipite pour rétablir l'ordre."
Rhap_M0021-8,7,38,employé,employé,1,y,"une dame, euh, vertueuse et bien pensante, de bonne bourgeoisie, dénonce le larcin, euh, au solide gaillard qui est le, euh, qui est, donc, le, l'employé de la pâtisserie, qui se précipite pour rétablir l'ordre."
Rhap_M0021-9,8,8,policier,policier,1,y,"au même moment arrive un, un policier."
Rhap_M0021-10,9,9,on,on,1,y,"et, euh, après quelques explications, on comprend que Charlot prend la, la faute ou le larcin sur lui et s'en mè~, est emmené par le policier, et que la jeune fille toute, toute ébahie se retrouve seule sur le trottoir mais libre."
Rhap_M0021-10,9,12,Charlot,Charlot,2,y,"et, euh, après quelques explications, on comprend que Charlot prend la, la faute ou le larcin sur lui et s'en mè~, est emmené par le policier, et que la jeune fille toute, toute ébahie se retrouve seule sur le trottoir mais libre."
Rhap_M0021-10,9,32,policier,policier,1,y,"et, euh, après quelques explications, on comprend que Charlot prend la, la faute ou le larcin sur lui et s'en mè~, est emmené par le policier, et que la jeune fille toute, toute ébahie se retrouve seule sur le trottoir mais libre."
Rhap_M0021-10,9,38,fille,fille,1,y,"et, euh, après quelques explications, on comprend que Charlot prend la, la faute ou le larcin sur lui et s'en mè~, est emmené par le policier, et que la jeune fille toute, toute ébahie se retrouve seule sur le trottoir mais libre."
Rhap_M0021-11,10,1,je,moi,5,y,je crois que c'est à peu près tout dans cette scène-là.
